barrio,poligono
84,"[(-58.5728089, -34.4645950),  (-58.5717943, -34.4641054),  (-58.5715868, -34.4647880),  (-58.5713897, -34.4654978),  (-58.5711823, -34.4661714),  (-58.5720889, -34.4666146),  (-58.5721537, -34.4666424),  (-58.5722293, -34.4666794),  (-58.5729632, -34.4670395),  (-58.5734381, -34.4672704),  (-58.5737619, -34.4674274),  (-58.5745605, -34.4678243),  (-58.5745717, -34.4678064),  (-58.5752733, -34.4681481),  (-58.5759857, -34.4684989),  (-58.5761152, -34.4685635),  (-58.5766056, -34.4698041),  (-58.5770856, -34.4710175),  (-58.5771378, -34.4711533),  (-58.5774604, -34.4720223),  (-58.5773041, -34.4722549),  (-58.5768359, -34.4729074),  (-58.5767799, -34.4729969),  (-58.5766743, -34.4731309),  (-58.5795462, -34.4744983),  (-58.5810947, -34.4749670),  (-58.5811867, -34.4749951),  (-58.5829859, -34.4754441),  (-58.5843965, -34.4756993),  (-58.5848095, -34.4757311),  (-58.5858097, -34.4758013),  (-58.5866962, -34.4758341),  (-58.5868890, -34.4753721),  (-58.5874405, -34.4746169),  (-58.5879753, -34.4738839),  (-58.5884815, -34.4732318),  (-58.5890447, -34.4724271),  (-58.5879166, -34.4718777),  (-58.5868635, -34.4713968),  (-58.5857950, -34.4708662),  (-58.5847263, -34.4703490),  (-58.5836359, -34.4698226),  (-58.5825349, -34.4692871),  (-58.5814662, -34.4687699),  (-58.5803758, -34.4682525),  (-58.5792962, -34.4677352),  (-58.5782168, -34.4672089),  (-58.5771157, -34.4666823),  (-58.5760363, -34.4661559),  (-58.5749568, -34.4656386),  (-58.5744280, -34.4653800),  (-58.5738884, -34.4651123),  (-58.5731435, -34.4647611),  (-58.5728089, -34.4645950)]"
85,"[(-58.5978079, -34.4752455),  (-58.5978468, -34.4755209),  (-58.5978658, -34.4756879),  (-58.5979543, -34.4759277),  (-58.5985327, -34.4764887),  (-58.5986398, -34.4765936),  (-58.5988009, -34.4767216),  (-58.5990583, -34.4769499),  (-58.5994017, -34.4772423),  (-58.5998148, -34.4775986),  (-58.6000241, -34.4777767),  (-58.6007108, -34.4783660),  (-58.5994867, -34.4793209),  (-58.5967539, -34.4809886),  (-58.5957692, -34.4816173),  (-58.5943620, -34.4827729),  (-58.5937500, -34.4835635),  (-58.5927619, -34.4850394),  (-58.5926118, -34.4852270),  (-58.5924902, -34.4853382),  (-58.5921133, -34.4854195),  (-58.5922914, -34.4855072),  (-58.5925558, -34.4856455),  (-58.5935162, -34.4861433),  (-58.5951504, -34.4870364),  (-58.5958860, -34.4869907),  (-58.5959786, -34.4869873),  (-58.5976298, -34.4868666),  (-58.5978750, -34.4868468),  (-58.5991119, -34.4867664),  (-58.5990696, -34.4863648),  (-58.5991097, -34.4862481),  (-58.5992012, -34.4859787),  (-58.5996665, -34.4854973),  (-58.6001266, -34.4849933),  (-58.6004716, -34.4845421),  (-58.6004937, -34.4845243),  (-58.6005375, -34.4845068),  (-58.6008726, -34.4843258),  (-58.6009604, -34.4842818),  (-58.6011622, -34.4842525),  (-58.6012331, -34.4842443),  (-58.6012768, -34.4842358),  (-58.6017195, -34.4841282),  (-58.6019216, -34.4840810),  (-58.6019435, -34.4840767),  (-58.6021290, -34.4840473),  (-58.6023912, -34.4839917),  (-58.6025005, -34.4839659),  (-58.6027301, -34.4839054),  (-58.6028953, -34.4837901),  (-58.6033123, -34.4835876),  (-58.6034878, -34.4835040),  (-58.6038393, -34.4833142),  (-58.6039169, -34.4832340),  (-58.6043299, -34.4829412),  (-58.6045847, -34.4826782),  (-58.6046567, -34.4826024),  (-58.6049002, -34.4823573),  (-58.6050219, -34.4822416),  (-58.6052432, -34.4820232),  (-58.6054645, -34.4818094),  (-58.6057631, -34.4815289),  (-58.6060065, -34.4812928),  (-58.6063935, -34.4809277),  (-58.6064725, -34.4807573),  (-58.6065401, -34.4802939),  (-58.6063018, -34.4798991),  (-58.6060864, -34.4797569),  (-58.6059788, -34.4796836),  (-58.6059354, -34.4796741),  (-58.6058812, -34.4796599),  (-58.6055343, -34.4795794),  (-58.6052299, -34.4795534),  (-58.6051647, -34.4795481),  (-58.6044242, -34.4795712),  (-58.6043593, -34.4795434),  (-58.6043377, -34.4795342),  (-58.6042292, -34.4795149),  (-58.6038407, -34.4793122),  (-58.6036087, -34.4791923),  (-58.6035709, -34.4791739),  (-58.6034630, -34.4791185),  (-58.6033712, -34.4790724),  (-58.6031880, -34.4789622),  (-58.6031341, -34.4789300),  (-58.6029026, -34.4787786),  (-58.6025848, -34.4785812),  (-58.6025741, -34.4785721),  (-58.6024523, -34.4783724),  (-58.6023835, -34.4782544),  (-58.6022619, -34.4780412),  (-58.6022627, -34.4779916),  (-58.6022667, -34.4777483),  (-58.6022257, -34.4772746),  (-58.6022105, -34.4772024),  (-58.6020887, -34.4766782),  (-58.6020075, -34.4763257),  (-58.6018751, -34.4761079),  (-58.6015109, -34.4757522),  (-58.6013341, -34.4755879),  (-58.6012858, -34.4755468),  (-58.6012410, -34.4752984),  (-58.6012010, -34.4750861),  (-58.6011912, -34.4750184),  (-58.5978079, -34.4752455)]"
86,"[(-58.5846960, -34.4682756),  (-58.5841828, -34.4690178),  (-58.5836359, -34.4698226),  (-58.5847263, -34.4703490),  (-58.5857950, -34.4708662),  (-58.5868635, -34.4713968),  (-58.5874545, -34.4705609),  (-58.5879566, -34.4698276),  (-58.5872548, -34.4694950),  (-58.5868716, -34.4693058),  (-58.5857863, -34.4688020),  (-58.5846960, -34.4682756)]"
87,"[(-58.5874405, -34.4746169),  (-58.5868890, -34.4753721),  (-58.5866962, -34.4758341),  (-58.5875229, -34.4758617),  (-58.5906599, -34.4757221),  (-58.5916679, -34.4756526),  (-58.5901778, -34.4749459),  (-58.5891197, -34.4744380),  (-58.5885956, -34.4751800),  (-58.5874405, -34.4746169)]"
88,"[(-58.5516092, -34.4394049),  (-58.5509813, -34.4398572),  (-58.5508491, -34.4399548),  (-58.5507418, -34.4398634),  (-58.5497685, -34.4404738),  (-58.5488909, -34.4408915),  (-58.5486056, -34.4410323),  (-58.5481284, -34.4412565),  (-58.5479457, -34.4411282),  (-58.5468532, -34.4420210),  (-58.5471440, -34.4421912),  (-58.5474443, -34.4424382),  (-58.5479271, -34.4428315),  (-58.5487751, -34.4434951),  (-58.5495473, -34.4441397),  (-58.5503741, -34.4435140),  (-58.5506612, -34.4432741),  (-58.5511075, -34.4429459),  (-58.5511246, -34.4428965),  (-58.5519344, -34.4423112),  (-58.5526582, -34.4429237),  (-58.5534411, -34.4423200),  (-58.5542240, -34.4417163),  (-58.5535061, -34.4410724),  (-58.5528205, -34.4404513),  (-58.5521985, -34.4399302),  (-58.5520699, -34.4398160),  (-58.5516092, -34.4394049)]"
89,"[(-58.5541368, -34.4442481),  (-58.5533869, -34.4448342),  (-58.5533648, -34.4448519),  (-58.5526144, -34.4454650),  (-58.5518254, -34.4461046),  (-58.5525493, -34.4467171),  (-58.5533003, -34.4473299),  (-58.5538686, -34.4478144),  (-58.5545862, -34.4472144),  (-58.5547900, -34.4473836),  (-58.5555836, -34.4467890),  (-58.5563443, -34.4462121),  (-58.5555943, -34.4455363),  (-58.5548655, -34.4448967),  (-58.5541368, -34.4442481)]"
90,"[(-58.5589102, -34.4380851),  (-58.5581492, -34.4386890),  (-58.5573443, -34.4393105),  (-58.5581102, -34.4400046),  (-58.5588508, -34.4405947),  (-58.5596175, -34.4399773),  (-58.5603947, -34.4393825),  (-58.5596709, -34.4387656),  (-58.5589102, -34.4380851)]"
91,"[(-58.5595689, -34.4412251),  (-58.5587748, -34.4418512),  (-58.5579752, -34.4424817),  (-58.5587259, -34.4431125),  (-58.5595255, -34.4424865),  (-58.5603782, -34.4431996),  (-58.5611059, -34.4426358),  (-58.5610414, -34.4425945),  (-58.5609610, -34.4425214),  (-58.5602865, -34.4418870),  (-58.5595689, -34.4412251)]"
92,"[(-58.5658314, -34.4338264),  (-58.5656650, -34.4336983),  (-58.5652944, -34.4334235),  (-58.5653192, -34.4335635),  (-58.5652292, -34.4337382),  (-58.5651246, -34.4338091),  (-58.5649658, -34.4338703),  (-58.5647648, -34.4338545),  (-58.5645120, -34.4336892),  (-58.5605203, -34.4368151),  (-58.5604871, -34.4368508),  (-58.5612533, -34.4375313),  (-58.5619553, -34.4381480),  (-58.5619994, -34.4381125),  (-58.5627384, -34.4375262),  (-58.5634994, -34.4369178),  (-58.5642772, -34.4362869),  (-58.5667013, -34.4344901),  (-58.5666476, -34.4344489),  (-58.5658314, -34.4338264)]"
93,"[(-58.5642772, -34.4362869),  (-58.5634994, -34.4369178),  (-58.5627384, -34.4375262),  (-58.5619994, -34.4381125),  (-58.5619553, -34.4381480),  (-58.5627329, -34.4387971),  (-58.5634455, -34.4394319),  (-58.5641367, -34.4400485),  (-58.5642010, -34.4401033),  (-58.5642655, -34.4401491),  (-58.5650098, -34.4395720),  (-58.5657654, -34.4389634),  (-58.5665327, -34.4383099),  (-58.5664629, -34.4382550),  (-58.5664199, -34.4382275),  (-58.5657724, -34.4376024),  (-58.5650276, -34.4369402),  (-58.5642772, -34.4362869)]"
94,"[(-58.5678054, -34.4459684),  (-58.5671197, -34.4453474),  (-58.5664029, -34.4459069),  (-58.5663588, -34.4459424),  (-58.5663258, -34.4459601),  (-58.5670868, -34.4466360),  (-58.5663150, -34.4472309),  (-58.5670115, -34.4478610),  (-58.5677836, -34.4472481),  (-58.5685721, -34.4466263),  (-58.5678696, -34.4460322),  (-58.5678054, -34.4459684)]"
95,"[(-58.5578737, -34.4449052),  (-58.5563443, -34.4462121),  (-58.5564944, -34.4463446),  (-58.5566013, -34.4464540),  (-58.5572017, -34.4469704),  (-58.5579523, -34.4476102),  (-58.5572084, -34.4481603),  (-58.5574639, -34.4484923),  (-58.5573623, -34.4490184),  (-58.5574703, -34.4490647),  (-58.5578915, -34.4492500),  (-58.5580407, -34.4488011),  (-58.5580523, -34.4487561),  (-58.5587249, -34.4482413),  (-58.5594858, -34.4476463),  (-58.5602798, -34.4470292),  (-58.5607981, -34.4466297),  (-58.5598153, -34.4462035),  (-58.5589627, -34.4457969),  (-58.5588287, -34.4456781),  (-58.5580669, -34.4450562),  (-58.5579757, -34.4449830),  (-58.5578737, -34.4449052)]"
96,"[(-58.5607981, -34.4466297),  (-58.5602798, -34.4470292),  (-58.5594858, -34.4476463),  (-58.5587249, -34.4482413),  (-58.5580523, -34.4487561),  (-58.5580407, -34.4488011),  (-58.5578915, -34.4492500),  (-58.5585069, -34.4495276),  (-58.5586148, -34.4495830),  (-58.5588856, -34.4493383),  (-58.5594752, -34.4488991),  (-58.5602359, -34.4483222),  (-58.5610299, -34.4477006),  (-58.5617475, -34.4483670),  (-58.5621882, -34.4480477),  (-58.5625737, -34.4477728),  (-58.5629044, -34.4475243),  (-58.5618024, -34.4470697),  (-58.5607981, -34.4466297)]"
97,"[(-58.5443182, -34.4551868),  (-58.5441184, -34.4550988),  (-58.5439292, -34.4550334),  (-58.5428703, -34.4555391),  (-58.5417592, -34.4559224),  (-58.5412996, -34.4554437),  (-58.5408084, -34.4558435),  (-58.5403135, -34.4558331),  (-58.5403569, -34.4561536),  (-58.5395648, -34.4563379),  (-58.5396163, -34.4565008),  (-58.5396520, -34.4566409),  (-58.5389482, -34.4567497),  (-58.5380927, -34.4568251),  (-58.5372317, -34.4569004),  (-58.5363929, -34.4569580),  (-58.5372018, -34.4573687),  (-58.5372989, -34.4574195),  (-58.5390842, -34.4583151),  (-58.5400340, -34.4587637),  (-58.5410055, -34.4592169),  (-58.5419771, -34.4596612),  (-58.5424683, -34.4589459),  (-58.5429596, -34.4582307),  (-58.5439095, -34.4586747),  (-58.5441361, -34.4587855),  (-58.5448160, -34.4591091),  (-58.5448376, -34.4591184),  (-58.5457979, -34.4595895),  (-58.5467477, -34.4600425),  (-58.5480210, -34.4606615),  (-58.5482099, -34.4607539),  (-58.5489324, -34.4598791),  (-58.5490269, -34.4597631),  (-58.5491438, -34.4596112),  (-58.5497001, -34.4589058),  (-58.5503125, -34.4581018),  (-58.5493152, -34.4575627),  (-58.5483759, -34.4571369),  (-58.5474256, -34.4567155),  (-58.5465247, -34.4562721),  (-58.5455805, -34.4558102),  (-58.5443182, -34.4551868)]"
98,"[(-58.5529138, -34.4593314),  (-58.5519584, -34.4588875),  (-58.5516739, -34.4592897),  (-58.5513783, -34.4597099),  (-58.5508651, -34.4604429),  (-58.5525431, -34.4612605),  (-58.5530619, -34.4605230),  (-58.5536529, -34.4596962),  (-58.5529138, -34.4593314)]"
99,"[(-58.5704229, -34.4596457),  (-58.5699209, -34.4603699),  (-58.5694638, -34.4610135),  (-58.5683951, -34.4605053),  (-58.5678818, -34.4612474),  (-58.5673798, -34.4619716),  (-58.5683190, -34.4624152),  (-58.5684483, -34.4624889),  (-58.5692470, -34.4628768),  (-58.5695490, -34.4630336),  (-58.5709306, -34.4636987),  (-58.5710272, -34.4634565),  (-58.5714166, -34.4626408),  (-58.5714736, -34.4624882),  (-58.5716324, -34.4621115),  (-58.5722039, -34.4605047),  (-58.5715347, -34.4601814),  (-58.5704229, -34.4596457)]"
100,"[(-58.5530619, -34.4605230),  (-58.5525431, -34.4612605),  (-58.5541405, -34.4620275),  (-58.5555435, -34.4627021),  (-58.5558403, -34.4628453),  (-58.5566497, -34.4632425),  (-58.5574590, -34.4636396),  (-58.5582465, -34.4640455),  (-58.5591642, -34.4644709),  (-58.5598874, -34.4648175),  (-58.5600276, -34.4648912),  (-58.5605839, -34.4641812),  (-58.5611373, -34.4633269),  (-58.5616891, -34.4625582),  (-58.5606535, -34.4620278),  (-58.5599355, -34.4616993),  (-58.5593893, -34.4624545),  (-58.5589488, -34.4630713),  (-58.5587816, -34.4633037),  (-58.5579498, -34.4629468),  (-58.5571238, -34.4625675),  (-58.5564499, -34.4622035),  (-58.5563089, -34.4621748),  (-58.5562228, -34.4621197),  (-58.5561533, -34.4620513),  (-58.5559063, -34.4618591),  (-58.5556904, -34.4617574),  (-58.5552693, -34.4615631),  (-58.5546594, -34.4612810),  (-58.5530619, -34.4605230)]"
101,"[(-58.5695795, -34.4503968),  (-58.5692424, -34.4510238),  (-58.5688622, -34.4516233),  (-58.5684986, -34.4522094),  (-58.5696541, -34.4527232),  (-58.5708532, -34.4532330),  (-58.5712168, -34.4526514),  (-58.5715971, -34.4520429),  (-58.5719773, -34.4514434),  (-58.5709620, -34.4509989),  (-58.5707892, -34.4509248),  (-58.5695795, -34.4503968)]"
102,"[(-58.5719773, -34.4514434),  (-58.5715971, -34.4520429),  (-58.5712168, -34.4526514),  (-58.5708532, -34.4532330),  (-58.5703669, -34.4539935),  (-58.5699307, -34.4546914),  (-58.5694785, -34.4553622),  (-58.5707047, -34.4558858),  (-58.5713744, -34.4561775),  (-58.5720493, -34.4564784),  (-58.5743102, -34.4524621),  (-58.5739538, -34.4523047),  (-58.5731870, -34.4519713),  (-58.5724633, -34.4516564),  (-58.5720744, -34.4514896),  (-58.5719773, -34.4514434)]"
103,"[(-58.5775874, -34.4430450),  (-58.5774208, -34.4429214),  (-58.5769481, -34.4425688),  (-58.5756193, -34.4436125),  (-58.5748090, -34.4442430),  (-58.5739929, -34.4448870),  (-58.5747822, -34.4455001),  (-58.5749588, -34.4453489),  (-58.5755163, -34.4448777),  (-58.5762502, -34.4442643),  (-58.5769853, -34.4435833),  (-58.5775874, -34.4430450)]"
104,"[(-58.5794571, -34.4444278),  (-58.5792420, -34.4442766),  (-58.5789625, -34.4440795),  (-58.5786026, -34.4438049),  (-58.5785060, -34.4437317),  (-58.5777593, -34.4431687),  (-58.5775874, -34.4430450),  (-58.5769853, -34.4435833),  (-58.5762502, -34.4442643),  (-58.5755163, -34.4448777),  (-58.5749588, -34.4453489),  (-58.5758626, -34.4459498),  (-58.5766967, -34.4464824),  (-58.5764949, -34.4468360),  (-58.5776401, -34.4473136),  (-58.5778643, -34.4469241),  (-58.5785023, -34.4458769),  (-58.5786024, -34.4457429),  (-58.5786248, -34.4457071),  (-58.5795161, -34.4444736),  (-58.5794947, -34.4444553),  (-58.5794571, -34.4444278)]"
105,"[(-58.5852975, -34.4571372),  (-58.5851913, -34.4573027),  (-58.5848945, -34.4578040),  (-58.5844917, -34.4584574),  (-58.5840886, -34.4591287),  (-58.5836699, -34.4597593),  (-58.5832339, -34.4604438),  (-58.5828038, -34.4611058),  (-58.5823680, -34.4617768),  (-58.5820048, -34.4623404),  (-58.5815635, -34.4630204),  (-58.5823083, -34.4633805),  (-58.5833879, -34.4638888),  (-58.5844891, -34.4644153),  (-58.5855686, -34.4649326),  (-58.5866377, -34.4654272),  (-58.5877333, -34.4659581),  (-58.5888349, -34.4664621),  (-58.5899146, -34.4669748),  (-58.5900062, -34.4670255),  (-58.5910101, -34.4675193),  (-58.5915660, -34.4677871),  (-58.5920250, -34.4679997),  (-58.5920682, -34.4680182),  (-58.5923032, -34.4676333),  (-58.5928163, -34.4668911),  (-58.5931114, -34.4664934),  (-58.5933624, -34.4661267),  (-58.5936246, -34.4657421),  (-58.5947051, -34.4662053),  (-58.5959416, -34.4667783),  (-58.5957395, -34.4658521),  (-58.5956272, -34.4654091),  (-58.5953549, -34.4641261),  (-58.5947450, -34.4612302),  (-58.5897266, -34.4590632),  (-58.5873877, -34.4580537),  (-58.5866586, -34.4577298),  (-58.5857673, -34.4573499),  (-58.5852975, -34.4571372)]"
106,"[(-58.5729167, -34.4588996),  (-58.5727612, -34.4594071),  (-58.5727152, -34.4598707),  (-58.5727707, -34.4601283),  (-58.5729893, -34.4603922),  (-58.5728300, -34.4608005),  (-58.5737151, -34.4612254),  (-58.5747947, -34.4617338),  (-58.5758741, -34.4622511),  (-58.5763983, -34.4615001),  (-58.5768893, -34.4607847),  (-58.5764413, -34.4605722),  (-58.5758099, -34.4602674),  (-58.5757451, -34.4602351),  (-58.5750382, -34.4598888),  (-58.5747196, -34.4597499),  (-58.5729167, -34.4588996)]"
107,"[(-58.5699889, -34.4656346),  (-58.5694950, -34.4668367),  (-58.5682632, -34.4688683),  (-58.5682408, -34.4689041),  (-58.5682184, -34.4689399),  (-58.5681905, -34.4689802),  (-58.5697933, -34.4697651),  (-58.5730367, -34.4713533),  (-58.5736448, -34.4704726),  (-58.5742249, -34.4696411),  (-58.5741710, -34.4696134),  (-58.5735232, -34.4693084),  (-58.5740473, -34.4685664),  (-58.5745605, -34.4678243),  (-58.5737619, -34.4674274),  (-58.5734381, -34.4672704),  (-58.5729632, -34.4670395),  (-58.5722293, -34.4666794),  (-58.5721537, -34.4666424),  (-58.5720889, -34.4666146),  (-58.5711823, -34.4661714),  (-58.5705989, -34.4659212),  (-58.5699889, -34.4656346)]"
108,"[(-58.5681905, -34.4689802),  (-58.5681737, -34.4690115),  (-58.5681513, -34.4690473),  (-58.5681289, -34.4690831),  (-58.5681065, -34.4691189),  (-58.5680840, -34.4691637),  (-58.5679608, -34.4693696),  (-58.5676021, -34.4699783),  (-58.5667444, -34.4714465),  (-58.5672626, -34.4716914),  (-58.5673382, -34.4717283),  (-58.5683852, -34.4722363),  (-58.5685687, -34.4723241),  (-58.5689357, -34.4725042),  (-58.5699287, -34.4729890),  (-58.5708678, -34.4734462),  (-58.5709973, -34.4735108),  (-58.5714506, -34.4737369),  (-58.5717960, -34.4739077),  (-58.5727405, -34.4743694),  (-58.5736852, -34.4748131),  (-58.5749318, -34.4754361),  (-58.5750871, -34.4755821),  (-58.5758305, -34.4757080),  (-58.5764821, -34.4757922),  (-58.5766885, -34.4758171),  (-58.5773890, -34.4759064),  (-58.5775683, -34.4759265),  (-58.5779158, -34.4759711),  (-58.5780052, -34.4761524),  (-58.5785310, -34.4772402),  (-58.5789256, -34.4773980),  (-58.5797634, -34.4764523),  (-58.5803789, -34.4757789),  (-58.5810947, -34.4749670),  (-58.5795462, -34.4744983),  (-58.5766743, -34.4731309),  (-58.5730367, -34.4713533),  (-58.5697933, -34.4697651),  (-58.5681905, -34.4689802)]"
109,"[(-58.5803789, -34.4757789),  (-58.5797634, -34.4764523),  (-58.5789256, -34.4773980),  (-58.5798165, -34.4778140),  (-58.5805886, -34.4781790),  (-58.5827857, -34.4792320),  (-58.5835812, -34.4785337),  (-58.5830344, -34.4780451),  (-58.5824656, -34.4775653),  (-58.5819300, -34.4770588),  (-58.5813503, -34.4765834),  (-58.5808619, -34.4761811),  (-58.5803789, -34.4757789)]"
110,"[(-58.5943578, -34.4710191),  (-58.5938669, -34.4717345),  (-58.5934096, -34.4723962),  (-58.5946082, -34.4729599),  (-58.5951373, -34.4732093),  (-58.5958684, -34.4731005),  (-58.5960608, -34.4739591),  (-58.5963696, -34.4753417),  (-58.5978079, -34.4752455),  (-58.5977740, -34.4749973),  (-58.5977403, -34.4747355),  (-58.5976381, -34.4743377),  (-58.5975123, -34.4737233),  (-58.5973197, -34.4728738),  (-58.5972584, -34.4726388),  (-58.5964683, -34.4720483),  (-58.5955445, -34.4716456),  (-58.5955239, -34.4715733),  (-58.5950382, -34.4713333),  (-58.5949950, -34.4713148),  (-58.5943578, -34.4710191)]"
111,"[(-58.5975123, -34.4737233),  (-58.5976381, -34.4743377),  (-58.5977403, -34.4747355),  (-58.5977740, -34.4749973),  (-58.5978079, -34.4752455),  (-58.6011912, -34.4750184),  (-58.6011861, -34.4750003),  (-58.6011765, -34.4749236),  (-58.6011719, -34.4748740),  (-58.6010764, -34.4747241),  (-58.6010393, -34.4746651),  (-58.6009760, -34.4745427),  (-58.6009074, -34.4744157),  (-58.6008757, -34.4743613),  (-58.6007317, -34.4741839),  (-58.6003580, -34.4737515),  (-58.6000270, -34.4733646),  (-58.5998723, -34.4731780),  (-58.5997282, -34.4730096),  (-58.5993272, -34.4732349),  (-58.5991700, -34.4728725),  (-58.5989800, -34.4728433),  (-58.5989584, -34.4731585),  (-58.5988673, -34.4734009),  (-58.5987564, -34.4735213),  (-58.5975123, -34.4737233)]"
112,"[(-58.5934096, -34.4723962),  (-58.5928854, -34.4731474),  (-58.5923055, -34.4739789),  (-58.5917924, -34.4747212),  (-58.5934766, -34.4755338),  (-58.5963696, -34.4753417),  (-58.5960608, -34.4739591),  (-58.5958684, -34.4731005),  (-58.5951373, -34.4732093),  (-58.5946082, -34.4729599),  (-58.5934096, -34.4723962)]"
113,"[(-58.5487111, -34.4459415),  (-58.5481595, -34.4463766),  (-58.5479719, -34.4465276),  (-58.5479499, -34.4465454),  (-58.5474647, -34.4469182),  (-58.5469574, -34.4473088),  (-58.5477721, -34.4480125),  (-58.5485010, -34.4486521),  (-58.5494268, -34.4479645),  (-58.5502812, -34.4473167),  (-58.5495149, -34.4466451),  (-58.5487111, -34.4459415)]"
114,"[(-58.5411209, -34.4513314),  (-58.5405505, -34.4515950),  (-58.5402309, -34.4518255),  (-58.5401868, -34.4518611),  (-58.5391102, -34.4527586),  (-58.5398165, -34.4531276),  (-58.5406478, -34.4535071),  (-58.5416299, -34.4539695),  (-58.5426286, -34.4544185),  (-58.5439292, -34.4550334),  (-58.5441184, -34.4550988),  (-58.5443182, -34.4551868),  (-58.5451918, -34.4546969),  (-58.5449971, -34.4546270),  (-58.5448305, -34.4545124),  (-58.5444544, -34.4542375),  (-58.5436825, -34.4535703),  (-58.5429643, -34.4529488),  (-58.5422246, -34.4523090),  (-58.5411209, -34.4513314)]"
115,"[(-58.5387407, -34.4530471),  (-58.5384978, -34.4532470),  (-58.5380561, -34.4536203),  (-58.5379454, -34.4537271),  (-58.5385190, -34.4542162),  (-58.5391097, -34.4546650),  (-58.5398546, -34.4553183),  (-58.5403135, -34.4558331),  (-58.5408084, -34.4558435),  (-58.5412996, -34.4554437),  (-58.5406138, -34.4548316),  (-58.5405602, -34.4547859),  (-58.5399603, -34.4542470),  (-58.5398429, -34.4541149),  (-58.5397050, -34.4539059),  (-58.5387407, -34.4530471)]"
116,"[(-58.5563819, -34.4358064),  (-58.5555989, -34.4364236),  (-58.5555560, -34.4363870),  (-58.5555345, -34.4363687),  (-58.5547461, -34.4369858),  (-58.5548156, -34.4370543),  (-58.5549228, -34.4371457),  (-58.5552229, -34.4374061),  (-58.5558760, -34.4380222),  (-58.5558976, -34.4380315),  (-58.5566258, -34.4387026),  (-58.5573443, -34.4393105),  (-58.5581492, -34.4386890),  (-58.5589102, -34.4380851),  (-58.5581975, -34.4374593),  (-58.5574423, -34.4367698),  (-58.5573243, -34.4366783),  (-58.5573137, -34.4366601),  (-58.5567674, -34.4361624),  (-58.5563819, -34.4358064)]"
117,"[(-58.5524458, -34.4388380),  (-58.5516092, -34.4394049),  (-58.5520699, -34.4398160),  (-58.5521985, -34.4399302),  (-58.5528205, -34.4404513),  (-58.5535061, -34.4410724),  (-58.5542240, -34.4417163),  (-58.5549633, -34.4423741),  (-58.5557136, -34.4430319),  (-58.5564857, -34.4424191),  (-58.5557463, -34.4417614),  (-58.5550177, -34.4411128),  (-58.5542943, -34.4404778),  (-58.5535710, -34.4398338),  (-58.5528690, -34.4392216),  (-58.5524458, -34.4388380)]"
118,"[(-58.5671857, -34.4440322),  (-58.5663693, -34.4446896),  (-58.5655969, -34.4453206),  (-58.5648139, -34.4459333),  (-58.5640850, -34.4452938),  (-58.5633238, -34.4459068),  (-58.5625737, -34.4465019),  (-58.5619898, -34.4469277),  (-58.5618024, -34.4470697),  (-58.5629044, -34.4475243),  (-58.5639303, -34.4479780),  (-58.5648757, -34.4483677),  (-58.5656478, -34.4487058),  (-58.5658801, -34.4488031),  (-58.5665151, -34.4482562),  (-58.5670115, -34.4478610),  (-58.5663150, -34.4472309),  (-58.5670868, -34.4466360),  (-58.5663258, -34.4459601),  (-58.5663588, -34.4459424),  (-58.5664029, -34.4459069),  (-58.5671197, -34.4453474),  (-58.5678054, -34.4459684),  (-58.5686766, -34.4452845),  (-58.5679043, -34.4446355),  (-58.5671857, -34.4440322)]"
119,"[(-58.5639303, -34.4479780),  (-58.5633022, -34.4484394),  (-58.5624875, -34.4489976),  (-58.5616716, -34.4496190),  (-58.5609220, -34.4501870),  (-58.5616722, -34.4508539),  (-58.5624012, -34.4514934),  (-58.5627333, -34.4517948),  (-58.5630708, -34.4521007),  (-58.5632801, -34.4522699),  (-58.5633552, -34.4523339),  (-58.5633765, -34.4523612),  (-58.5636986, -34.4519774),  (-58.5642054, -34.4512938),  (-58.5633037, -34.4508911),  (-58.5638407, -34.4500321),  (-58.5641317, -34.4495578),  (-58.5652226, -34.4500303),  (-58.5652874, -34.4500581),  (-58.5657645, -34.4495184),  (-58.5662637, -34.4489609),  (-58.5660207, -34.4488544),  (-58.5658801, -34.4488031),  (-58.5656478, -34.4487058),  (-58.5648757, -34.4483677),  (-58.5639303, -34.4479780)]"
120,"[(-58.5609220, -34.4501870),  (-58.5601120, -34.4507859),  (-58.5593996, -34.4514040),  (-58.5590733, -34.4517111),  (-58.5587360, -34.4520271),  (-58.5587071, -34.4521259),  (-58.5597377, -34.4526248),  (-58.5607256, -34.4530736),  (-58.5612651, -34.4533413),  (-58.5621039, -34.4529681),  (-58.5629111, -34.4525315),  (-58.5629692, -34.4523158),  (-58.5630708, -34.4521007),  (-58.5627333, -34.4517948),  (-58.5624012, -34.4514934),  (-58.5616722, -34.4508539),  (-58.5609220, -34.4501870)]"
